Generation,Best_Fitness,Average_Fitness,Num_Species,Average_Score,Max_Score,Average_Complexity
0,0.131,-3.2818999999999994,,-3.2818999999999994,0.131,7.0
1,0.13,-2.247861386138614,,-2.247861386138614,0.13,6.415841584158416
2,0.171,-1.8146796116504853,,-1.8146796116504853,0.171,5.87378640776699
3,0.167,-1.23768932038835,,-1.23768932038835,0.167,5.854368932038835
4,0.171,-2.291757575757576,,-2.291757575757576,0.171,5.292929292929293
5,20.766,-1.820823529411765,,-1.820823529411765,20.766,6.107843137254902
6,152.543,0.6555392156862743,,0.6555392156862743,152.543,6.294117647058823
